,sample,filter,JP from Inter NF,JP from JP NF,GP from Inter NF,GP from GP NF,ff,fb
146,TCGAA2A0SX01A12RA08407,0253XGA,0,7,0,1,"(0, 2, 5)","(3, 10)"
147,TCGAA2A0SX01A12RA08407,0A53XGA,2,46,1,3,"(0, Any, 5)","(3, 10)"
148,TCGAA2A0SX01A12RA08407,02101GA,1,11,3,2,"(0, 2, 1)","(0, 1)"
149,TCGAA2A0SX01A12RA08407,0213AGA,1,45,26,5,"(0, 2, 1)","(3, Any)"
150,TCGAA2A0SX01A12RA08407,0213XGA,1,39,14,4,"(0, 2, 1)","(3, 10)"
151,TCGAA2A0SX01A12RA08407,0A532GA,1,15,1,2,"(0, Any, 5)","(3, 2)"
152,TCGAA2A0SX01A12RA08407,02501GA,0,2,0,1,"(0, 2, 5)","(0, 1)"
153,TCGAA2A0SX01A12RA08407,02512GA,0,2,0,1,"(0, 2, 5)","(1, 2)"
154,TCGAA2A0SX01A12RA08407,0251XGA,0,2,0,1,"(0, 2, 5)","(1, 10)"
155,TCGAA2A0SX01A12RA08407,0211AGA,1,11,3,2,"(0, 2, 1)","(1, Any)"
156,TCGAA2A0SX01A12RA08407,0AN3AGA,5,934,1,14,"(0, Any, None)","(3, Any)"
157,TCGAA2A0SX01A12RA08407,0211XGA,1,11,3,2,"(0, 2, 1)","(1, 10)"
158,TCGAA2A0SX01A12RA08407,0A501GA,1,8,1,2,"(0, Any, 5)","(0, 1)"
159,TCGAA2A0SX01A12RA08407,0A13AGA,3,264,1,7,"(0, Any, 1)","(3, Any)"
160,TCGAA2A0SX01A12RA08407,0251AGA,0,2,0,1,"(0, 2, 5)","(1, Any)"
161,TCGAA2A0SX01A12RA08407,0AN12GA,3,521,1,5,"(0, Any, None)","(1, 2)"
162,TCGAA2A0SX01A12RA08407,0AN01GA,3,510,1,5,"(0, Any, None)","(0, 1)"
163,TCGAA2A0SX01A12RA08407,0A11AGA,1,63,1,2,"(0, Any, 1)","(1, Any)"
164,TCGAA2A0SX01A12RA08407,0A13XGA,2,226,1,5,"(0, Any, 1)","(3, 10)"
165,TCGAA2A0SX01A12RA08407,02112GA,1,11,3,2,"(0, 2, 1)","(1, 2)"
166,TCGAA2A0SX01A12RA08407,0253AGA,0,9,0,1,"(0, 2, 5)","(3, Any)"
167,TCGAA2A0SX01A12RA08407,02132GA,1,17,4,2,"(0, 2, 1)","(3, 2)"
168,TCGAA2A0SX01A12RA08407,0A51XGA,1,9,1,2,"(0, Any, 5)","(1, 10)"
169,TCGAA2A0SX01A12RA08407,0AN32GA,3,624,1,7,"(0, Any, None)","(3, 2)"
170,TCGAA2A0SX01A12RA08407,0A101GA,1,61,1,2,"(0, Any, 1)","(0, 1)"
171,TCGAA2A0SX01A12RA08407,0A112GA,1,63,1,2,"(0, Any, 1)","(1, 2)"
172,TCGAA2A0SX01A12RA08407,0A51AGA,1,9,1,2,"(0, Any, 5)","(1, Any)"
173,TCGAA2A0SX01A12RA08407,0A132GA,1,93,1,2,"(0, Any, 1)","(3, 2)"
174,TCGAA2A0SX01A12RA08407,0AN1XGA,3,523,1,6,"(0, Any, None)","(1, 10)"
