sample	libsize_75percent
SRR1080143.all	205478.25
SRR1080148.all	241525.5
SRR1080172.all	202082.5
SRR1080196.all	199874.5
SRR1080222.all	229418.5
SRR1080246.all	176592.25
SRR1080270.all	262828.75
SRR1080294.all	194024.5
SRR1080318.all	237077.5
SRR1080342.all	210915.75
SRR1080366.all	320489.25
SRR1080391.all	188573.0
SRR1080415.all	108953.75
SRR1080438.all	151648.0
SRR1080459.all	270834.25
SRR1080484.all	317936.0
SRR1080509.all	321332.25
SRR1080534.all	198895.75
SRR1080560.all	263562.0
SRR1080580.all	244655.0
SRR1080600.all	195836.5
SRR1080624.all	116350.5
SRR1080648.all	140300.25
SRR1080672.all	169874.25
SRR1080696.all	277309.5
SRR1080720.all	212117.75
SRR1080742.all	286368.75
SRR1080766.all	181349.0
SRR1080790.all	199065.25
SRR1080811.all	332572.75
SRR1080835.all	228453.0
SRR1080859.all	246409.0
SRR1080879.all	162065.5
SRR1080903.all	227240.75
SRR1080927.all	267254.0
SRR1080951.all	160576.25
SRR1080977.all	63331.0
SRR1080998.all	115296.0
SRR1081023.all	199208.0
SRR1081044.all	141740.25
SRR1081068.all	214458.25
SRR1081092.all	188823.5
SRR1081116.all	196350.75
SRR1081137.all	249566.5
SRR1081160.all	201196.25
SRR1081184.all	127773.75
SRR1081209.all	161416.5
SRR1081235.all	219273.75
SRR1081283.all	323735.5
SRR1081308.all	249004.5
SRR1081332.all	182703.0
SRR1081357.all	203479.5
SRR1081381.all	161188.5
SRR1081401.all	252680.0
SRR1081425.all	151096.0
SRR1081449.all	314685.75
SRR1081473.all	221424.25
SRR1081493.all	201156.5
SRR1081519.all	227244.25
SRR1081543.all	176611.0
SRR1081567.all	230653.5
SRR1081589.all	329532.75
SRR1081614.all	337134.75
SRR1081639.all	203588.5
SRR1081663.all	462261.25
SRR1081688.all	248141.5
SRR1081712.all	46191.0
SRR1081717.all	186529.5
SRR1081741.all	258001.0
SRR1081765.all	219442.5
SRR1081789.all	282111.75
SRR1081813.all	260587.25
SRR1081838.all	298156.0
SRR1081864.all	267740.75
SRR1081886.all	260764.25
SRR1081910.all	312357.75
SRR1081935.all	177822.5
SRR1081961.all	318242.5
SRR1081987.all	315416.75
SRR1082011.all	196661.5
SRR1082035.all	219019.75
SRR1082059.all	257231.5
SRR1082080.all	90363.25
SRR1082104.all	226858.25
SRR1082128.all	244723.0
SRR1082151.all	159525.25
SRR1082173.all	249237.75
SRR1082197.all	259152.75
SRR1082217.all	245264.25
SRR1082238.all	248198.75
SRR1082262.all	213961.25
SRR1082283.all	189861.5
SRR1082307.all	273074.5
SRR1082328.all	209478.25
SRR1082352.all	218989.25
SRR1082376.all	347319.0
SRR1082401.all	227345.5
SRR1082423.all	284304.25
SRR1082447.all	234629.0
SRR1082471.all	306417.75
SRR1082496.all	251311.5
SRR1082520.all	243084.25
SRR1082544.all	93331.25
SRR1082568.all	197651.25
SRR1082592.all	245745.5
SRR1082616.all	257283.0
SRR1082640.all	267660.25
SRR1082664.all	227092.5
SRR1082685.all	272069.75
SRR1082709.all	256468.0
SRR1082733.all	193315.25
SRR1082759.all	143346.0
SRR1082784.all	254848.75
SRR1082809.all	298865.5
SRR1082833.all	216539.75
SRR1082859.all	251625.5
SRR1082883.all	262434.75
SRR1082909.all	255909.75
SRR1082933.all	144648.75
SRR1082957.all	217459.0
SRR1082981.all	234989.25
SRR1083005.all	186643.5
SRR1083031.all	253883.0
SRR1083052.all	259532.25
SRR1083076.all	192033.25
SRR1083100.all	270865.5
SRR1083125.all	238375.75
SRR1083149.all	133795.75
SRR1083171.all	230075.5
SRR1083191.all	223579.0
SRR1083215.all	230032.0
SRR1083237.all	313525.75
SRR1083262.all	148901.5
SRR1083286.all	201103.0
SRR1083311.all	314767.0
SRR1083337.all	238469.75
SRR1083360.all	173343.0
SRR1083384.all	252197.75
SRR1083408.all	145719.5
SRR1083432.all	83162.25
SRR1083456.all	204431.25
SRR1083480.all	172823.25
SRR1083504.all	153573.25
SRR1083530.all	191923.25
SRR1083554.all	371114.25
SRR1083579.all	291569.75
SRR1083604.all	216839.5
SRR1083632.all	320814.25
SRR1083657.all	53444.5
SRR1083678.all	238511.25
SRR1083700.all	169053.0
SRR1083732.all	251873.0
SRR1083752.all	231689.5
SRR1083776.all	244958.5
SRR1083800.all	243953.25
SRR1083824.all	289190.25
SRR1083848.all	163115.25
SRR1083868.all	239415.75
SRR1083892.all	163180.0
SRR1083918.all	210058.5
SRR1083939.all	164882.75
SRR1083959.all	212979.0
SRR1083983.all	141851.0
SRR1084007.all	338370.0
SRR1084032.all	233313.5
SRR1084055.all	231571.5
SRR1084079.all	253698.0
SRR1084103.all	331098.25
SRR1084128.all	155189.5
SRR1084154.all	197710.5
SRR1084180.all	206649.75
SRR1084204.all	302458.25
SRR1084228.all	170844.0
SRR1084252.all	248798.0
SRR1084276.all	235692.25
SRR1084299.all	208651.75
SRR1084323.all	139509.75
SRR1084347.all	273512.5
SRR1084369.all	165036.0
SRR1084393.all	161755.5
SRR1084417.all	147375.75
SRR1084439.all	309761.0
SRR1084460.all	199840.25
SRR1084484.all	124086.25
SRR1084505.all	208847.5
SRR1084529.all	220164.75
SRR1084553.all	179497.5
SRR1084577.all	102458.5
SRR1084602.all	258928.0
SRR1084626.all	198958.0
SRR1084649.all	233174.25
SRR1084674.all	246094.25
SRR1084698.all	218954.75
SRR1084720.all	93945.5
SRR1084742.all	233323.5
SRR1084766.all	207834.25
SRR1084790.all	306704.0
SRR1084816.all	154879.25
SRR1084842.all	353292.75
SRR1084867.all	340406.75
SRR1084892.all	177565.5
SRR1084941.all	174428.75
SRR1084965.all	84971.5
SRR1084991.all	240796.25
SRR1085015.all	224094.0
SRR1085039.all	228070.75
SRR1085063.all	198023.0
SRR1085087.all	251209.5
SRR1085110.all	174768.5
SRR1085134.all	306057.25
SRR1085159.all	186321.75
SRR1085187.all	71824.25
SRR1085211.all	220985.25
SRR1085235.all	250813.5
SRR1085259.all	189187.5
SRR1085285.all	247405.5
SRR1085310.all	145600.75
SRR1085334.all	240662.0
SRR1085358.all	214257.0
SRR1085378.all	241444.5
SRR1085402.all	197323.5
SRR1085426.all	288287.5
SRR1085450.all	294279.5
SRR1085475.all	254090.75
SRR1085495.all	219670.75
SRR1085519.all	202662.0
SRR1085541.all	202698.25
SRR1085565.all	234003.0
SRR1085590.all	226172.5
SRR1085614.all	198760.75
SRR1085638.all	279019.5
SRR1085662.all	231898.25
SRR1085687.all	329448.25
SRR1085712.all	171326.5
SRR1085736.all	219420.0
SRR1085759.all	179381.75
SRR1085782.all	179474.25
SRR1085803.all	279820.75
SRR1085825.all	290449.0
SRR1085850.all	187420.5
SRR1085874.all	215991.75
SRR1085900.all	273397.0
SRR1085925.all	127145.5
SRR1085951.all	213618.25
SRR1085975.all	185653.5
SRR1085996.all	231038.25
SRR1086020.all	183182.75
SRR1086046.all	182992.00000000003
SRR1086070.all	144278.5
SRR1086094.all	187924.75
